Unique.ID,sex,species,Site.ID,Lat,Long,Site.Name,Country,Province,Ocean.drainage
NPKBa01,M,titia,NPKB1,31.52,-93.14,Natchitoches Paris Kisatchie Bayou,United States,Louisiana,Gulf
NPKBa02,M,titia,NPKB1,31.52,-93.14,Natchitoches Paris Kisatchie Bayou,United States,Louisiana,Gulf
NPKBa03,M,titia,NPKB1,31.52,-93.14,Natchitoches Paris Kisatchie Bayou,United States,Louisiana,Gulf
NPKBa14,M,titia,NPKB1,31.52,-93.14,Natchitoches Paris Kisatchie Bayou,United States,Louisiana,Gulf
GOa01,F,titia,GO01,8.64,-83.2,Golfito,Costa Rica,Puntarenas,Pacific
PSa01,B,titia,ps01,9.54,-84.28,Palo Seco,Costa Rica,Puntarenas,Pacific
PSa02,B,titia,ps01,9.54,-84.28,Palo Seco,Costa Rica,Puntarenas,Pacific
ARa01,M,titia,AR,18.95,-103.95,Armería,Mexico,Colima,Pacific
ARa02,M,titia,AR,18.95,-103.95,Armería,Mexico,Colima,Pacific
ARa03,M,titia,AR,18.95,-103.95,Armería,Mexico,Colima,Pacific
CYa01,M,titia,CY,21.75,-98.96,Rio Coy,Mexico,San Luis Potosí,Gulf
CYa02,M,titia,CY,21.75,-98.96,Rio Coy,Mexico,San Luis Potosí,Gulf
GOa07,M,titia,GO01,8.64,-83.2,Golfito,Costa Rica,Puntarenas,Pacific
GOa02,M,titia,GO01,8.64,-83.2,Golfito,Costa Rica,Puntarenas,Pacific
NPKBa04,F,titia,NPKB1,31.52,-93.14,Natchitoches Paris Kisatchie Bayou,United States,Louisiana,Gulf
NPKBa05,F,titia,NPKB1,31.52,-93.14,Natchitoches Paris Kisatchie Bayou,United States,Louisiana,Gulf
NPKBa06,F,titia,NPKB1,31.52,-93.14,Natchitoches Paris Kisatchie Bayou,United States,Louisiana,Gulf
ARa04,F,titia,AR,18.95,-103.95,Armería,Mexico,Colima,Pacific
CVa02,M,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
CVa03,M,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
CVa04,M,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
CVa05,M,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
CVa06,M,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
CVa12,M,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
PSa03,M,titia,ps01,9.54,-84.28,Palo Seco,Costa Rica,Puntarenas,Pacific
PSa04,M,titia,ps01,9.54,-84.28,Palo Seco,Costa Rica,Puntarenas,Pacific
ARa05,M,titia,AR,18.95,-103.95,Armería,Mexico,Colima,Pacific
CYa03,M,titia,CY,21.75,-98.96,Rio Coy,Mexico,San Luis Potosí,Gulf
CYa04,M,titia,CY,21.75,-98.96,Rio Coy,Mexico,San Luis Potosí,Gulf
CYa05,M,titia,CY,21.75,-98.96,Rio Coy,Mexico,San Luis Potosí,Gulf
ESRBa01,F,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa02,F,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa03,F,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa04,F,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa05,F,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa19,F,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
NPKBa07,M,titia,NPKB1,31.52,-93.14,Natchitoches Paris Kisatchie Bayou,United States,Louisiana,Gulf
NPKBa08,M,titia,NPKB1,31.52,-93.14,Natchitoches Paris Kisatchie Bayou,United States,Louisiana,Gulf
NPKBa09,M,titia,NPKB1,31.52,-93.14,Natchitoches Paris Kisatchie Bayou,United States,Louisiana,Gulf
NPKBa10,M,titia,NPKB1,31.52,-93.14,Natchitoches Paris Kisatchie Bayou,United States,Louisiana,Gulf
CVa07,F,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
ESRBa06,F,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa07,F,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa08,F,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa09,F,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa20,F,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
PAa01,M,titia,PA,18.55,-95.07,La Palma,Mexico,Veracruz,Gulf
GOa03,M,titia,GO01,8.64,-83.2,Golfito,Costa Rica,Puntarenas,Pacific
GOa04,M,titia,GO01,8.64,-83.2,Golfito,Costa Rica,Puntarenas,Pacific
ESRBa10,M,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa11,M,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa12,M,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa13,M,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ESRBa21,M,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
ARa06,M,titia,AR,18.95,-103.95,Armería,Mexico,Colima,Pacific
ARa07,M,titia,AR,18.95,-103.95,Armería,Mexico,Colima,Pacific
GOa05,M,titia,GO01,8.64,-83.2,Golfito,Costa Rica,Puntarenas,Pacific
GOa06,M,titia,GO01,8.64,-83.2,Golfito,Costa Rica,Puntarenas,Pacific
PAa02,M,titia,PA,18.55,-95.07,La Palma,Mexico,Veracruz,Gulf
CVa08,M,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
CVa09,M,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
CVa10,M,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
CVa13,M,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
PAa03,M,titia,PA,18.55,-95.07,La Palma,Mexico,Veracruz,Gulf
PAa05,M,titia,PA,18.55,-95.07,La Palma,Mexico,Veracruz,Gulf
PAa06,M,titia,PA,18.55,-95.07,La Palma,Mexico,Veracruz,Gulf
ESRBa14,M,titia,ESRB1,9.72,-82.97,Rio Bitey,Costa Rica,Limón,Carribbean
CVa11,M,titia,CV,29.33,-98.87,Castroville,United States,Texas,Gulf
PAa07,F,titia,PA,18.55,-95.07,La Palma,Mexico,Veracruz,Gulf
