Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-3631.111413326663	-3602.9851792426016	-28.126234084061455	0.1	0.45962912518678756	0.01
500	-2701.7566613358663	-2676.3206421611485	-25.436019174717607	1.353933011334007	2.40271488734432	0.059764945885944144
1000	-2698.8227346825715	-2677.202223928787	-21.620510753784203	0.30808412504076543	8.745042574256352	0.019683891258810017
1500	-2688.0292064354935	-2670.6394002467277	-17.38980618876571	0.1049317982158152	16.40894514041839	0.009782644635723389
2000	-2688.6030553264013	-2672.096646694067	-16.506408632334185	0.09478602761081523	29.269332835446086	0.004013565323252327
2500	-2688.527446498228	-2671.736529108899	-16.79091738932897	0.08537056540537352	18.53645846392801	0.01097787342597605
3000	-2686.7381114439168	-2671.1132737212047	-15.624837722712229	0.08151713985881358	30.25292970106518	0.005401741065087911
3500	-2687.688291723977	-2671.5814908067787	-16.106800917198036	0.057070159742643234	30.991394668522936	0.005383770412135882
4000	-2688.917248354182	-2673.32392053689	-15.59332781729217	0.07748744033312224	26.346661631411138	0.004256556186525967
4500	-2688.5205355765547	-2673.122676256381	-15.397859320173811	0.07412757784731289	23.38610804216848	0.004812873435250866
5000	-2689.914535380421	-2673.716494836244	-16.19804054417734	0.09035272666846855	20.172533091498817	0.0077788005974496885
5500	-2694.8809668719828	-2679.486064143052	-15.394902728930898	0.08430931657084355	30.48813065219441	0.00532395477930988
6000	-2687.132690978169	-2671.4449787127905	-15.687712265378533	0.05680782480989085	23.861146014939482	0.008578041284169075
6500	-2694.325817275907	-2674.1232512928964	-20.202565983010594	0.009851969360142772	22.94450961264064	0.006167464405955368
7000	-2689.8388281651164	-2674.3701020643657	-15.468726100750853	0.0735871775888986	28.167099474889184	0.007165254293301829
7500	-2689.2622700222264	-2671.008056472192	-18.254213550034216	0.0346516393510452	35.99667164986215	0.004550035469818611
8000	-2689.228907155615	-2672.825728470487	-16.403178685128225	0.052869536019584266	27.052430431147943	0.005102857075814498
8500	-2689.51849827384	-2673.8160829855524	-15.702415288287908	0.03950247606245571	28.254776705702195	0.006029471276176759
9000	-2691.078667449714	-2673.876239742146	-17.20242770756773	0.06182544232814755	33.48447129600022	0.003906605788360016
9500	-2688.646520870358	-2672.7040190193193	-15.942501851038902	0.05686634439274641	32.80387802738449	0.004111583091016174
10000	-2687.6855227597766	-2671.5137268251856	-16.171795934591234	0.07743867326149748	21.36389909974845	0.006885927984969546
10500	-2687.9055218796366	-2671.13261714456	-16.77290473507658	0.08507395945414863	32.136019543394305	0.005286147653990072
11000	-2688.732284023712	-2670.835485894144	-17.896798129567983	0.01583561643487185	28.732593591237634	0.004924736062258319
11500	-2688.8816290791024	-2672.531667004233	-16.349962074869307	0.07482064162988485	34.15460317401908	0.004935315970857535
12000	-2688.3069879199666	-2672.2682854222758	-16.038702497690593	0.09107261449650775	23.26806969770301	0.0076878071065334406
12500	-2687.5156195023114	-2671.418423058821	-16.097196443490024	0.0991033273524573	22.054025749023964	0.007773177357729348
13000	-2687.3488851658713	-2671.261392500598	-16.08749266527319	0.09438112895804353	25.571212065847202	0.006094250646533194
13500	-2689.2281794907863	-2672.6460466861176	-16.58213280466874	0.05024137556654661	35.718218544573155	0.004469987997761186
14000	-2691.0141754534366	-2674.599218369918	-16.414957083518456	0.09214640967281283	30.38945375437176	0.004309376884194966
14500	-2688.728427247521	-2671.923304983041	-16.805122264479838	0.09429823232830575	29.50774205376317	0.0065462940077563245
15000	-2687.5289064350163	-2670.717693080058	-16.81121335495825	0.11382046931471172	25.20026014973969	0.006633237896713142
15500	-2687.7761459265294	-2672.5232238379913	-15.252922088538085	0.08178443112435112	29.11008063615546	0.005881329746152788
16000	-2690.8806388231483	-2674.7462802907103	-16.134358532438117	0.08814059688474274	24.5860820307275	0.005982053785780274
16500	-2689.155586123115	-2672.4701811938785	-16.6854049292366	0.029734933555570924	28.587792025860274	0.005627021075675963
17000	-2688.1207292456925	-2672.007242192064	-16.113487053628482	0.08854449374369973	20.400289419933785	0.008058811877983805
17500	-2693.7425344294174	-2677.0559615087695	-16.68657292064804	0.09745365912228578	27.124651902117836	0.005174645779306645
18000	-2690.9814447565604	-2673.9592308842925	-17.02221387226779	0.028691423238361623	31.59875867135428	0.005572775010491958
18500	-2692.4540617775947	-2674.7768416947793	-17.67722008281536	0.03874912385049843	32.30796566945774	0.0055507967111778495
19000	-2687.1280050363303	-2670.6410627732166	-16.486942263113725	0.08885298295458675	19.855016060979878	0.007746357650428163
19500	-2690.4558981605846	-2673.5032284315835	-16.95266972900132	0.1500109982140912	25.008599900841677	0.006960012070026874
20000	-2689.4139058663145	-2673.720383718929	-15.693522147385462	0.03574264650741824	29.614302002389778	0.0055400445729892
20500	-2690.6533673764543	-2674.9248873675765	-15.728480008878016	0.08382964310300371	28.03482592803697	0.006005396815729523
21000	-2687.544648085349	-2670.881646833635	-16.66300125171376	0.044002765901009905	20.878010809514446	0.007714612220524761
21500	-2686.9291166640455	-2671.2228076787387	-15.706308985306807	0.05718623400446381	32.42086357787823	0.004599981854688834
22000	-2688.675402073626	-2672.7949931244793	-15.88040894914666	0.10267536714526633	24.70687209828184	0.006237219487062181
22500	-2691.119555235973	-2675.7929710880107	-15.32658414796247	0.06929200952499483	26.52832046228656	0.00592285644762638
23000	-2688.381095893445	-2671.7575043642314	-16.62359152921341	0.05474711395220273	31.496182394621208	0.004866074163252073
23500	-2687.2520812360626	-2671.173930318014	-16.078150918048877	0.03801902731127843	31.216338046899565	0.00516394559892169
24000	-2689.3878677908415	-2672.998916981873	-16.388950808968254	0.13090436691666252	24.703238308370295	0.005963908300358058
24500	-2687.4275648607686	-2671.493890202554	-15.933674658214406	0.0666932864175226	23.84316017094979	0.007008648610111735
25000	-2689.74926064947	-2671.7647794585637	-17.984481190906433	0.0464171930363339	39.125700820680834	0.005185027817124997
25500	-2691.06332095817	-2674.9378775356954	-16.125443422474955	0.05543976157817398	20.5406365555678	0.006964898098860726
26000	-2692.9309740330136	-2675.1345007650725	-17.796473267941142	0.15339004724648928	26.308425089100144	0.006738767103331395
26500	-2688.967315171516	-2673.4598168542198	-15.507498317296054	0.07853086767410324	26.3555942507433	0.00432339789504344
27000	-2687.6950594337004	-2671.2059953143935	-16.48906411930687	0.03482429228865505	30.820945367620624	0.005479193167699103
27500	-2689.8565584817748	-2671.5975076884797	-18.259050793294858	0.18114298970945317	16.515347284751417	0.007647236754850937
28000	-2685.8060951837538	-2669.9104664403467	-15.895628743407169	0.0410169148850042	25.11016973142179	0.006431692360529828
28500	-2691.60498992389	-2675.633416640445	-15.971573283445203	0.043122711977011986	32.65007958585968	0.005212904765429052
29000	-2687.9480795229642	-2670.661025843679	-17.287053679285275	0.1299058757546829	25.208772982976136	0.006703597426113894
29500	-2686.4641509841113	-2670.863818002933	-15.600332981178328	0.044730984013345784	29.823746913322527	0.004630002833338642
30000	-2687.6817608585	-2671.5761182136544	-16.105642644845865	0.08752281956211852	25.25546431276326	0.005622765881342356
30500	-2686.8781715590185	-2670.4582948350153	-16.41987672400313	0.04015184734796972	31.209253549627274	0.005809967694956048
31000	-2689.0956552693374	-2672.3433754656885	-16.75227980364874	0.0770169704273532	19.03926193826991	0.007411477102530752
31500	-2687.707482354689	-2672.0882998524653	-15.619182502224014	0.08703563212901576	22.519283141081488	0.007357496722801289
32000	-2695.4615940130584	-2673.2786786937804	-22.18291531927794	0.030691702834709907	40.50580421192724	0.003154593369644542
32500	-2693.2712725820143	-2674.760328654802	-18.510943927212487	0.039613625508843085	34.580595653170356	0.00384424458519916
33000	-2686.681327047109	-2671.0719629574587	-15.60936408965006	0.07507089208000299	29.375389222728547	0.006110178559169738
33500	-2687.1480763723457	-2671.365643711324	-15.782432661021815	0.09227412953861033	23.401315787074093	0.006855000425288068
34000	-2687.4954639323214	-2671.5036509564434	-15.991812975878185	0.044856085636309266	31.568135562248877	0.005654098111930443
34500	-2688.2575893450635	-2671.6429095775893	-16.614679767474193	0.09541932225216801	27.713462856963712	0.00617068922441088
35000	-2688.2798055751523	-2672.916158440863	-15.363647134289199	0.06718368909552572	30.046079586650567	0.0045095804191650065
35500	-2686.467799064527	-2670.794237945848	-15.673561118678561	0.04396357504663495	29.34782948778115	0.004694684403729418
36000	-2690.5272806156772	-2671.989763438448	-18.537517177229372	0.027380057815091403	36.4375491639363	0.004110118943339876
36500	-2690.988058884444	-2671.959161328745	-19.028897555699167	0.10076346118592999	32.65964768149724	0.004809364880399728
37000	-2688.8198474581777	-2673.2378770852943	-15.581970372883404	0.04424282213980979	26.25937870000969	0.006612196863565695
37500	-2692.033767986714	-2675.57395771223	-16.459810274483782	0.10805030785412235	25.39483502496104	0.007670503913601976
38000	-2689.422157247779	-2671.16685276612	-18.25530448165927	0.06941095140299611	34.56741344783791	0.005119474332534722
38500	-2688.4388194477638	-2672.2605638988252	-16.17825554893855	0.05487700284186256	21.314740894594458	0.008759321811603627
39000	-2689.5415217303726	-2672.1952857314936	-17.346235998879035	0.07817005542272282	29.390415165939093	0.004622265110378968
39500	-2686.620445684615	-2670.6829196335834	-15.937526051031334	0.04066197979818498	25.900158125958036	0.005648736595847479
40000	-2696.878110995401	-2675.585838578314	-21.292272417087165	0.07900805569879973	42.16539771665477	0.0026545345918681687
40500	-2689.0008089344997	-2673.0285394110006	-15.97226952349904	0.05203182138037446	32.97437266729293	0.004905611561884275
41000	-2686.34268672878	-2669.964981377112	-16.37770535166783	0.10865129609610215	20.762817526275448	0.007081434351398639
41500	-2690.872034803922	-2675.3934765564372	-15.478558247484482	0.04992886829406291	24.243065148825444	0.006356142022134664
42000	-2692.3112282978086	-2674.6986153751336	-17.61261292267521	0.02506987352850422	23.17142152029594	0.005409665298934622
42500	-2688.548527576575	-2672.8498245874734	-15.698702989101628	0.08975294671387299	25.45986601159679	0.005402977801843297
43000	-2690.8312724628254	-2673.456349109717	-17.374923353108606	0.10033880527128648	31.09696802606561	0.00477524545626295
