Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-3499.9272902978423	-3471.8023932319	-28.124897065941944	0.1	0.48145546272495365	0.01
500	-2523.3788553244785	-2498.9254279295264	-24.453427394952048	0.41049306161497756	2.71343658366057	0.0688005433812247
1000	-2524.425173598028	-2501.9212568133016	-22.503916784726016	0.19918186466279744	6.068757936202496	0.02229376984101531
1500	-2513.995343379089	-2498.60447356311	-15.390869815979148	0.08663484059734702	24.25423236064376	0.0066317603007216555
2000	-2514.6817846827425	-2499.3507331733326	-15.331051509410056	0.04884051398251831	30.10376778737995	0.004858920008217094
2500	-2514.3833545690086	-2499.2904143157384	-15.09294025327003	0.04824055586375437	30.387139281739096	0.005998809937280989
3000	-2514.1819524383727	-2498.971405130892	-15.210547307480589	0.07129852843979759	30.752437585965918	0.005916015894683572
3500	-2512.131685915859	-2496.6457037220657	-15.485982193793586	0.0993984785595103	25.949432005802496	0.00577586524969905
4000	-2518.0280547569996	-2502.464654630489	-15.563400126510746	0.10671587118352253	30.281735979538592	0.004952719411772663
4500	-2513.624271158832	-2498.164030601781	-15.460240557051058	0.06815650903913092	23.945874196202965	0.0062908274944701885
5000	-2515.983782817665	-2497.666992616533	-18.316790201132058	0.0972176520916428	35.302148029592715	0.004417996195656717
5500	-2520.5087135085246	-2499.242740394286	-21.265973114238644	0.03918203625503488	43.91006572071106	0.002985369187712627
6000	-2513.7120517726526	-2498.8879551896252	-14.824096583027387	0.057573922447867354	29.05703374628472	0.00489574333321215
6500	-2514.4455167489896	-2498.5476791990905	-15.89783754989898	0.10627266116588706	26.739428072278606	0.0080712902259624
7000	-2513.761384640298	-2498.2419695276767	-15.51941511262123	0.07643646841291428	24.542479833480797	0.006586242716902092
7500	-2516.5029497850664	-2501.6048204935823	-14.89812929148403	0.047444804284704364	27.494191150642262	0.005362594711860985
8000	-2511.723840040593	-2495.9534655298266	-15.770374510766338	0.09675736749588491	22.41359507343589	0.0069813605233254835
8500	-2518.3584618129066	-2498.79888906202	-19.559572750886726	0.12217343708869258	36.83252844435963	0.0050809858675070875
9000	-2512.7653657947067	-2497.8593662897483	-14.905999504958178	0.05567495983906593	30.265426334883504	0.0043697535297361366
9500	-2512.2767126604986	-2496.996889402403	-15.279823258095309	0.04989186572882186	32.699389446893306	0.005709063935034983
10000	-2511.5592396492075	-2496.517342884191	-15.041896765016862	0.05998015178936574	27.900475352723653	0.005285880075684472
10500	-2513.7404294525195	-2498.5041649511286	-15.236264501391021	0.042340501727732134	26.323028875867603	0.005772575335110069
11000	-2517.0124675935363	-2500.125430746777	-16.88703684675937	0.04396920214149605	19.45890997701745	0.006969985098511293
11500	-2515.4372764540763	-2499.24973321674	-16.18754323733615	0.02606200268237977	35.294967518479304	0.004707142744565029
12000	-2515.920668822603	-2499.663427564128	-16.257241258474966	0.13589411150260303	22.193939668401004	0.005698030827122359
12500	-2513.803164783493	-2498.3426147508135	-15.460550032679134	0.09299544954706464	26.98607233511348	0.0070509079017151725
13000	-2512.3644800049715	-2496.5574167798995	-15.807063225071746	0.060780156044624355	34.863444226137446	0.0044885562280933735
13500	-2512.9562275236217	-2497.6568002420436	-15.299427281578032	0.0686432217922429	28.52900421118775	0.004683503118235309
14000	-2513.4591746695205	-2497.7655269862867	-15.693647683233927	0.08140820762108926	28.660328520534296	0.005613001315610711
14500	-2512.9691373759274	-2497.5272781530402	-15.441859222887	0.04022270920902958	30.207948361378172	0.004445858687667962
15000	-2512.5944432095885	-2496.9349222061896	-15.659521003399025	0.11483305928663347	25.232096861485413	0.005240872471676686
15500	-2516.4345838402082	-2498.9804332771946	-17.454150563013535	0.07131866218750751	34.92374759817911	0.0037635295901366607
16000	-2513.9019514884494	-2498.7281116424138	-15.173839846035811	0.08273449081769817	31.004180630603866	0.0053560705746805975
16500	-2517.9336537159934	-2501.232183636402	-16.7014700795912	0.057343329565795687	36.96778263406156	0.003585354896348894
17000	-2513.826554029186	-2498.9906972746357	-14.83585675455009	0.0632989193069916	32.281939185277864	0.00460864857403647
17500	-2512.23809776826	-2497.189742203798	-15.04835556446233	0.04533146945685774	28.555537198484252	0.006175925311427366
18000	-2513.5973390996237	-2498.9058256335256	-14.69151346609786	0.044872385627498235	30.659745640445212	0.004139865257615629
18500	-2518.113169676587	-2501.6699099640887	-16.44325971249809	0.03454469820332658	40.418119454490494	0.004258150327077522
