# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
0	4.014824	4.014824
1	4.763841	0.749017
2	5.538591	0.774750
3	6.434425	0.895834
4	7.501200	1.066775
5	8.672286	1.171086
6	9.921720	1.249434
7	11.256855	1.335135
8	12.668729	1.411874
9	14.135057	1.466328
10	15.736254	1.601197
11	17.314934	1.578680
12	18.959325	1.644391
13	20.617962	1.658637
14	22.301872	1.683910
15	23.960279	1.658407
16	25.663719	1.703440
17	27.349008	1.685289
18	29.025796	1.676788
19	30.664673	1.638877
20	32.284940	1.620267
21	33.881082	1.596142
22	35.470331	1.589249
23	37.054985	1.584654
24	38.572319	1.517334
25	40.086437	1.514118
26	41.555981	1.469544
27	42.990602	1.434621
28	44.370540	1.379938
29	45.763804	1.393264
30	47.103764	1.339960
31	48.411327	1.307563
32	49.694766	1.283439
33	50.952701	1.257935
34	52.191107	1.238406
35	53.409294	1.218187
36	54.592557	1.183263
37	55.717691	1.125134
38	56.842366	1.124675
39	57.939699	1.097333
40	58.999581	1.059882
41	60.024770	1.025189
42	61.030429	1.005659
43	62.036548	1.006119
44	63.006594	0.970046
45	63.923106	0.916512
46	64.855472	0.932366
47	65.721207	0.865735
48	66.587172	0.865965
49	67.450610	0.863438
50	68.272461	0.821851
51	69.062605	0.790144
52	69.801513	0.738908
53	70.547314	0.745801
54	71.260948	0.713634
55	71.976650	0.715702
56	72.657658	0.681008
57	73.311555	0.653897
58	73.949598	0.638043
59	74.578681	0.629083
60	75.176057	0.597376
61	75.783772	0.607715
62	76.361388	0.577616
63	76.911663	0.550275
64	77.452518	0.540855
65	77.984182	0.531664
66	78.490113	0.505931
67	78.982029	0.491916
68	79.468890	0.486861
69	79.940128	0.471238
70	80.404702	0.464574
71	80.850896	0.446194
72	81.252976	0.402080
73	81.667463	0.414487
74	82.076206	0.408743
75	82.453012	0.376806
76	82.845672	0.392660
77	83.205016	0.359344
78	83.560455	0.355439
79	83.903716	0.343261
80	84.259384	0.355668
81	84.589319	0.329935
82	84.909834	0.320515
83	85.220469	0.310635
84	85.520076	0.299607
85	85.822210	0.302134
86	86.097922	0.275712
87	86.373634	0.275712
88	86.645670	0.272036
89	86.920463	0.274793
90	87.172050	0.251587
91	87.422488	0.250438
92	87.677521	0.255033
93	87.918080	0.240559
94	88.167599	0.249519
95	88.404252	0.236653
96	88.625051	0.220799
97	88.844472	0.219421
98	89.059068	0.214596
99	89.275961	0.216893
100	89.482515	0.206554
101	89.682866	0.200351
102	89.878162	0.195296
103	90.075985	0.197823
104	90.271051	0.195066
105	90.458535	0.187484
106	90.645100	0.186565
107	90.833044	0.187944
108	91.000998	0.167954
109	91.170331	0.169333
110	91.334150	0.163819
111	91.492914	0.158764
112	91.660179	0.167265
113	91.822389	0.162210
114	91.987127	0.164738
115	92.141526	0.154399
116	92.292938	0.151412
117	92.439295	0.146357
118	92.568880	0.129585
119	92.715926	0.147046
120	92.844362	0.128436
121	92.976244	0.131882
122	93.099855	0.123611
123	93.224615	0.124760
124	93.340414	0.115799
125	93.471377	0.130963
126	93.588555	0.117178
127	93.702056	0.113501
128	93.819004	0.116948
129	93.942845	0.123841
130	94.049454	0.106609
131	94.153305	0.103851
132	94.258765	0.105460
133	94.363995	0.105230
134	94.465319	0.101324
135	94.572617	0.107298
136	94.676009	0.103392
137	94.777793	0.101784
138	94.874292	0.096499
139	94.968723	0.094431
140	95.061776	0.093053
141	95.152301	0.090525
142	95.238920	0.086619
143	95.325999	0.087079
144	95.414916	0.088917
145	95.499927	0.085011
146	95.589993	0.090066
147	95.669030	0.079037
148	95.753122	0.084092
149	95.833538	0.080416
150	95.910737	0.077199
151	95.984260	0.073523
152	96.058013	0.073753
153	96.123495	0.065482
154	96.191963	0.068468
155	96.269622	0.077659
156	96.338550	0.068928
157	96.411154	0.072604
158	96.487894	0.076740
159	96.554065	0.066171
160	96.621385	0.067320
161	96.688475	0.067090
162	96.756484	0.068009
163	96.818749	0.062265
164	96.882163	0.063414
165	96.944198	0.062035
166	96.999800	0.055602
167	97.057010	0.057210
168	97.121802	0.064792
169	97.174647	0.052845
170	97.230019	0.055372
171	97.287459	0.057440
172	97.337317	0.049858
173	97.386256	0.048939
174	97.437492	0.051236
175	97.489877	0.052385
176	97.541803	0.051926
177	97.592350	0.050547
178	97.642897	0.050547
179	97.694823	0.051926
180	97.738248	0.043425
181	97.792242	0.053994
182	97.842100	0.049858
183	97.882767	0.040667
184	97.928259	0.045492
185	97.971454	0.043195
186	98.012351	0.040897
187	98.052559	0.040208
188	98.092767	0.040208
189	98.133664	0.040897
190	98.175940	0.042276
191	98.212702	0.036762
192	98.252450	0.039748
193	98.295415	0.042965
194	98.333096	0.037681
195	98.368939	0.035843
196	98.402254	0.033315
197	98.433042	0.030788
198	98.465668	0.032626
199	98.498983	0.033315
200	98.534826	0.035843
201	98.564235	0.029409
202	98.593185	0.028950
203	98.617999	0.024814
204	98.649246	0.031247
205	98.676817	0.027571
206	98.707145	0.030328
207	98.738163	0.031018
208	98.765045	0.026882
209	98.792846	0.027801
210	98.825242	0.032396
211	98.851664	0.026422
212	98.876019	0.024355
213	98.902671	0.026652
214	98.926566	0.023895
215	98.949772	0.023206
216	98.974586	0.024814
217	98.996183	0.021597
218	99.013875	0.017692
