# [1]Sample ID	[2]ts/tv	[3]het/hom	[4]nSNPs	[5]nIndels	[6]Average depth	[7]nSingletons	[8]Sample name
0	5.000000	0.000000	6	0	6.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05AR12.paired.bam
1	1.641026	0.072917	103	0	6.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05LT10.paired.bam
2	1.319444	0.056962	334	0	20.300000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05LT11.paired.bam
3	1.507353	0.046012	341	0	51.700000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05PU01.paired.bam
4	2.500000	0.135135	84	0	6.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SA03.paired.bam
5	1.473118	0.111111	230	0	12.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SA09.paired.bam
6	1.414414	0.116667	268	0	15.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SA10.paired.bam
7	1.402516	0.052342	382	0	44.800000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SI11.paired.bam
8	1.433962	0.102564	258	0	15.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SI13.paired.bam
9	1.413793	0.111111	140	0	8.400000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SI17.paired.bam
10	1.444444	0.089109	330	0	20.500000	2	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SI24.paired.bam
11	1.083333	1.777778	25	0	14.600000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/08TM05.paired.bam
12	1.514493	0.070988	347	0	95.700000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/10AP36.paired.bam
13	1.526786	0.063910	283	0	19.800000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/10AP39.paired.bam
14	1.538462	0.650000	33	0	7.600000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/10OT21.paired.bam
15	1.302326	0.546875	99	0	39.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/10OT23.paired.bam
16	1.727273	0.384615	90	0	36.700000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/11CT10.paired.bam
17	1.547619	0.597015	107	0	153.800000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/11CT12.paired.bam
18	1.571429	0.475410	90	0	26.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/11CT18.paired.bam
19	1.586207	0.500000	75	0	15.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/11CT21.paired.bam
20	1.527778	0.400000	91	0	99.900000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/11CT25.paired.bam
21	1.351351	0.191781	87	0	24.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/ACSFa01.paired.bam
