# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
0	1.911079	1.911079
1	2.463283	0.552204
2	3.135382	0.672099
3	3.976364	0.840982
4	4.992137	1.015773
5	6.131999	1.139862
6	7.370979	1.238980
7	8.686776	1.315797
8	10.075768	1.388992
9	11.478294	1.402526
10	13.123279	1.644985
11	14.740625	1.617346
12	16.314511	1.573886
13	17.909555	1.595044
14	19.505552	1.595997
15	21.075245	1.569693
16	22.626067	1.550822
17	24.174792	1.548725
18	25.712271	1.537479
19	27.245938	1.533667
20	28.752729	1.506791
21	30.270956	1.518227
22	31.723803	1.452847
23	33.179128	1.455325
24	34.607958	1.428830
25	36.025161	1.417203
26	37.397951	1.372790
27	38.763498	1.365547
28	40.085585	1.322087
29	41.363260	1.277675
30	42.644556	1.281296
31	43.898785	1.254229
32	45.142340	1.243555
33	46.349869	1.207529
34	47.504599	1.154730
35	48.614725	1.110126
36	49.702931	1.088206
37	50.780844	1.077913
38	51.831690	1.050846
39	52.852038	1.020348
40	53.839601	0.987563
41	54.807912	0.968311
42	55.748775	0.940863
43	56.649800	0.901025
44	57.535766	0.885966
45	58.400574	0.864808
46	59.239459	0.838885
47	60.065954	0.826495
48	60.894165	0.828211
49	61.695309	0.801144
50	62.465573	0.770264
51	63.214489	0.748916
52	63.935385	0.720896
53	64.652278	0.716893
54	65.344773	0.692495
55	66.050801	0.706028
56	66.720422	0.669621
57	67.364310	0.643888
58	67.998858	0.634548
59	68.616442	0.617584
60	69.226592	0.610150
61	69.816918	0.590326
62	70.383227	0.566309
63	70.934287	0.551060
64	71.494878	0.560591
65	72.040982	0.546104
66	72.576793	0.535811
67	73.088206	0.511413
68	73.607625	0.519419
69	74.095021	0.487396
70	74.566596	0.471575
71	75.029403	0.462807
72	75.479439	0.450036
73	75.916513	0.437074
74	76.340625	0.424112
75	76.775984	0.435359
76	77.187325	0.411341
77	77.596951	0.409626
78	77.976270	0.379319
79	78.361116	0.384846
80	78.727282	0.366166
81	79.078009	0.350727
82	79.423399	0.345390
83	79.776794	0.353395
84	80.118562	0.341768
85	80.442603	0.324041
86	80.763022	0.320419
87	81.083632	0.320610
88	81.396236	0.312604
89	81.719705	0.323469
90	82.012486	0.292781
91	82.304695	0.292209
92	82.606625	0.301930
93	82.898643	0.292018
94	83.179796	0.281153
95	83.455612	0.275816
96	83.723613	0.268001
97	83.991614	0.268001
98	84.253134	0.261520
99	84.516751	0.263617
100	84.758066	0.241315
101	85.005481	0.247415
102	85.242603	0.237122
103	85.480868	0.238265
104	85.722374	0.241506
105	85.958161	0.235787
106	86.182702	0.224541
107	86.403240	0.220538
108	86.639599	0.236359
109	86.854038	0.214439
110	87.054372	0.200334
111	87.264046	0.209674
112	87.464761	0.200715
113	87.667191	0.202430
114	87.868096	0.200905
115	88.057565	0.189469
116	88.247415	0.189850
117	88.425638	0.178223
118	88.612438	0.186800
119	88.782845	0.170407
120	88.969073	0.186228
121	89.152823	0.183750
122	89.321896	0.169073
123	89.499356	0.177460
124	89.672432	0.173076
125	89.846652	0.174220
126	90.004670	0.158018
127	90.162497	0.157827
128	90.310412	0.147915
129	90.461377	0.150965
130	90.606052	0.144675
131	90.762735	0.156683
132	90.908744	0.146009
133	91.054562	0.145818
134	91.196187	0.141625
135	91.332665	0.136478
136	91.482105	0.149440
137	91.630973	0.148868
138	91.760971	0.129998
139	91.893447	0.132476
140	92.028591	0.135144
141	92.160114	0.131523
142	92.287824	0.127710
143	92.415153	0.127329
144	92.541720	0.126567
145	92.675149	0.133429
146	92.798856	0.123707
147	92.918370	0.119514
148	93.042649	0.124279
149	93.165975	0.123326
150	93.282439	0.116464
151	93.399475	0.117036
152	93.512889	0.113414
153	93.628209	0.115320
154	93.744483	0.116274
155	93.857135	0.112652
156	93.967881	0.110746
157	94.075196	0.107315
158	94.191851	0.116655
159	94.302597	0.110746
160	94.408959	0.106362
161	94.507315	0.098356
162	94.617108	0.109793
163	94.728235	0.111127
164	94.835931	0.107696
165	94.927997	0.092066
166	95.021206	0.093209
167	95.126805	0.105599
168	95.230117	0.103312
169	95.330951	0.100834
170	95.432738	0.101787
171	95.530903	0.098165
172	95.631546	0.100643
173	95.727424	0.095878
174	95.827305	0.099881
175	95.921849	0.094544
176	96.021349	0.099500
177	96.113796	0.092447
178	96.201287	0.087491
179	96.293925	0.092638
180	96.377604	0.083679
181	96.461283	0.083679
182	96.552777	0.091494
183	96.641412	0.088635
184	96.731000	0.089588
185	96.813535	0.082535
186	96.900835	0.087300
187	96.980702	0.079867
188	97.063428	0.082726
189	97.140626	0.077198
190	97.222589	0.081963
191	97.306649	0.084060
192	97.385563	0.078914
193	97.462380	0.076817
194	97.539578	0.077198
195	97.614679	0.075101
196	97.686349	0.071670
197	97.755351	0.069002
198	97.825496	0.070145
199	97.898119	0.072623
200	97.962165	0.064046
201	98.035932	0.073767
202	98.102837	0.066905
203	98.166311	0.063474
204	98.228069	0.061758
205	98.286587	0.058518
206	98.349870	0.063283
207	98.410675	0.060805
208	98.472624	0.061949
209	98.525614	0.052990
210	98.582226	0.056612
211	98.638266	0.056040
212	98.694497	0.056231
213	98.744247	0.049750
214	98.794950	0.050703
215	98.842984	0.048034
216	98.894068	0.051084
217	98.941149	0.047081
218	98.984418	0.043269
219	99.022159	0.037741
