# [1]Sample ID	[2]ts/tv	[3]het/hom	[4]nSNPs	[5]nIndels	[6]Average depth	[7]nSingletons	[8]Sample name
0	1.146341	0.396825	352	0	6.500000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05LT10.paired.bam
1	1.143095	0.427938	1288	0	22.000000	9	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05LT11.paired.bam
2	1.282776	0.222018	2664	0	58.000000	21	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05PU01.paired.bam
3	1.209877	0.549784	358	0	6.900000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05SA03.paired.bam
4	1.191176	0.446602	894	0	13.100000	6	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05SA09.paired.bam
5	1.208861	0.438187	1047	0	16.000000	7	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05SA10.paired.bam
6	1.186830	0.385063	1428	0	48.400000	6	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05SI11.paired.bam
7	1.207048	0.387812	1002	0	16.000000	4	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05SI13.paired.bam
8	1.165354	0.506849	550	0	9.000000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05SI17.paired.bam
9	1.289991	0.238240	2448	0	21.000000	13	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05SI24.paired.bam
10	1.283291	0.226983	2692	0	117.800000	13	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/10AP36.paired.bam
11	1.224084	0.222798	2124	0	23.200000	9	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/10AP39.paired.bam
12	1.213904	0.111409	828	0	155.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/EAFB014142.paired.bam
13	1.154897	0.290587	946	0	108.600000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/EAFB014144.paired.bam
14	1.233062	0.113514	824	0	36.000000	2	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/EAFB014146.paired.bam
15	1.148837	0.301408	924	0	38.300000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/EAFB014149.paired.bam
16	1.164103	0.195467	1266	0	44.600000	19	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/EC0101.paired.bam
17	1.384242	0.248096	1967	0	17.900000	12	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/EP0101.paired.bam
18	1.224390	0.333333	912	0	72.200000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/GL23892.paired.bam
19	1.204793	0.481698	1012	0	48.200000	5	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/GL23898.paired.bam
20	1.300603	0.236002	2671	0	52.100000	10	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/HXRCaAM01.paired.bam
21	1.288194	0.227760	2636	0	33.300000	22	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/HXRCaAM03_X.paired.bam
22	1.126154	0.345667	1382	0	27.000000	4	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/HXRCcAM01.paired.bam
23	1.155594	0.331533	1233	0	22.400000	4	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/HXRCcAM02.paired.bam
24	1.176829	0.294651	1428	0	69.900000	2	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/HXRCcAM03.paired.bam
25	1.245783	0.407855	932	0	115.100000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/IA0101.paired.bam
26	1.298734	0.423197	908	0	80.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/IA0103.paired.bam
27	1.257895	0.437186	858	0	25.700000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/IA0506.paired.bam
28	1.253102	0.386260	908	0	142.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/IA0607.paired.bam
29	1.238916	0.375189	909	0	179.600000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/IA0608.paired.bam
30	1.228501	0.363910	907	0	54.600000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/IL0203.paired.bam
31	1.235033	0.562791	1008	0	35.700000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/IL0204.paired.bam
32	1.251220	0.409160	923	0	53.600000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/IL0301.paired.bam
33	1.254854	0.378338	929	0	125.500000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/IL0302.paired.bam
34	1.207048	0.482249	1002	0	43.000000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MEBA014006.paired.bam
35	1.253133	0.322059	899	0	70.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MI0407.paired.bam
36	1.269802	0.342606	917	0	123.600000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MI0409.paired.bam
37	1.255102	0.298091	884	0	144.200000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MI0504.paired.bam
38	1.281330	0.313697	892	0	52.500000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MI0505.paired.bam
39	1.238329	0.349630	911	0	77.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MO0110.paired.bam
40	1.239468	0.389271	1010	0	46.400000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MO0111.paired.bam
41	1.292746	0.313056	885	0	39.300000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MO0112.paired.bam
42	1.227053	0.380240	922	0	59.700000	2	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MO0213.paired.bam
43	1.226216	0.566964	1053	0	55.100000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MO0214.paired.bam
44	1.276398	0.375235	733	0	18.400000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MS0121.paired.bam
45	1.219955	0.348485	979	0	68.500000	4	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/MS0222.paired.bam
46	1.271100	0.276779	1776	0	12.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/NMSCaAM01.paired.bam
