# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
0	2.028604	2.028604
1	2.653340	0.624736
2	3.370064	0.716724
3	4.249310	0.879246
4	5.293029	1.043719
5	6.490494	1.197465
6	7.769545	1.279051
7	9.078175	1.308630
8	10.487244	1.409069
9	11.868684	1.381440
10	13.539414	1.670730
11	15.156511	1.617097
12	16.776534	1.620023
13	18.348125	1.571591
14	19.959372	1.611247
15	21.548516	1.589144
16	23.130509	1.581993
17	24.651393	1.520884
18	26.212583	1.561190
19	27.778648	1.566065
20	29.281005	1.502357
21	30.787587	1.506582
22	32.270116	1.482529
23	33.712664	1.442548
24	35.142861	1.430197
25	36.586710	1.443849
26	37.955148	1.368438
27	39.322611	1.367463
28	40.677397	1.354786
29	41.939871	1.262474
30	43.236474	1.296603
31	44.474894	1.238420
32	45.707463	1.232569
33	46.903627	1.196164
34	48.038683	1.135056
35	49.149036	1.110353
36	50.225909	1.076873
37	51.303107	1.077198
38	52.337074	1.033967
39	53.382743	1.045669
40	54.382580	0.999837
41	55.317083	0.934503
42	56.233384	0.916301
43	57.164962	0.931578
44	58.047133	0.882171
45	58.911102	0.863969
46	59.738991	0.827889
47	60.536326	0.797335
48	61.357714	0.821388
49	62.148548	0.790834
50	62.922804	0.774256
51	63.673332	0.750528
52	64.431336	0.758004
53	65.105804	0.674468
54	65.814401	0.708597
55	66.478142	0.663741
56	67.139283	0.661141
57	67.778646	0.639363
58	68.411183	0.632537
59	69.009915	0.598732
60	69.616448	0.606533
61	70.176825	0.560377
62	70.761580	0.584755
63	71.313506	0.551926
64	71.869983	0.556477
65	72.396555	0.526572
66	72.934504	0.537949
67	73.428247	0.493743
68	73.930116	0.501869
69	74.416708	0.486592
70	74.880872	0.464164
71	75.327808	0.446936
72	75.781570	0.453762
73	76.225581	0.444011
74	76.648139	0.422558
75	77.064196	0.416057
76	77.480903	0.416707
77	77.852429	0.371526
78	78.204777	0.352348
79	78.569802	0.365025
80	78.958555	0.388753
81	79.325205	0.366650
82	79.686655	0.361450
83	80.036078	0.349423
84	80.393952	0.357874
85	80.718347	0.324395
86	81.049242	0.330895
87	81.370711	0.321469
88	81.685679	0.314968
89	81.990571	0.304892
90	82.302289	0.311718
91	82.584753	0.282464
92	82.869492	0.284739
93	83.163982	0.294490
94	83.447096	0.283114
95	83.719808	0.272712
96	83.987320	0.267512
97	84.247356	0.260036
98	84.518118	0.270762
99	84.778804	0.260686
100	85.018687	0.239883
101	85.261820	0.243133
102	85.504303	0.242483
103	85.737360	0.233057
104	85.985694	0.248334
105	86.215501	0.229807
106	86.442382	0.226881
107	86.664388	0.222006
108	86.875992	0.211604
109	87.091497	0.215505
110	87.296275	0.204778
111	87.490977	0.194702
112	87.686979	0.196002
113	87.895333	0.208354
114	88.094910	0.199577
115	88.272384	0.177474
116	88.442382	0.169998
117	88.623432	0.181050
118	88.803832	0.180400
119	88.985207	0.181375
120	89.150980	0.165773
121	89.327479	0.176499
122	89.502678	0.175199
123	89.673001	0.170323
124	89.836824	0.163823
125	89.997396	0.160572
126	90.153417	0.156021
127	90.307813	0.154396
128	90.457009	0.149196
129	90.611405	0.154396
130	90.762226	0.150821
131	90.909146	0.146920
132	91.050215	0.141069
133	91.188684	0.138469
134	91.334629	0.145945
135	91.479274	0.144645
136	91.611242	0.131968
137	91.749061	0.137819
138	91.884280	0.135219
139	92.017548	0.133268
140	92.156342	0.138794
141	92.284410	0.128068
142	92.415728	0.131318
143	92.541845	0.126117
144	92.672188	0.130343
145	92.789854	0.117666
146	92.913046	0.123192
147	93.039488	0.126442
148	93.158454	0.118966
149	93.286522	0.128068
150	93.403538	0.117016
151	93.514053	0.110515
152	93.633669	0.119616
153	93.749710	0.116041
154	93.867701	0.117991
155	93.973991	0.106290
156	94.088082	0.114091
157	94.199572	0.111490
158	94.309112	0.109540
159	94.409876	0.100764
160	94.508690	0.098814
161	94.609779	0.101089
162	94.714443	0.104664
163	94.821383	0.106940
164	94.925072	0.103689
165	95.021935	0.096863
166	95.122049	0.100114
167	95.216962	0.094913
168	95.331378	0.114416
169	95.433442	0.102064
170	95.528680	0.095238
171	95.631719	0.103039
172	95.732808	0.101089
173	95.830321	0.097513
174	95.920683	0.090362
175	96.006170	0.085487
176	96.095232	0.089062
177	96.189170	0.093938
178	96.278882	0.089712
179	96.367944	0.089062
180	96.459932	0.091988
181	96.551920	0.091988
182	96.641957	0.090037
183	96.727444	0.085487
184	96.811956	0.084512
185	96.894517	0.082561
186	96.978053	0.083536
187	97.062565	0.084512
188	97.138300	0.075735
189	97.233863	0.095563
190	97.311549	0.077686
191	97.386959	0.075410
192	97.458794	0.071835
193	97.529329	0.070535
194	97.605389	0.076060
195	97.668123	0.062734
196	97.732482	0.064359
197	97.807242	0.074760
198	97.877127	0.069885
199	97.942461	0.065334
200	98.009095	0.066634
201	98.071504	0.062409
202	98.137488	0.065984
203	98.200872	0.063384
204	98.264256	0.063384
205	98.315613	0.051357
206	98.372821	0.057208
207	98.431654	0.058833
208	98.488212	0.056558
209	98.547695	0.059483
210	98.598077	0.050382
211	98.649759	0.051682
212	98.696240	0.046481
213	98.743371	0.047131
214	98.786927	0.043556
215	98.830158	0.043231
216	98.870789	0.040631
217	98.911420	0.040631
218	98.953026	0.041606
219	98.995282	0.042256
220	99.034287	0.039005
