# [1]Sample ID	[2]ts/tv	[3]het/hom	[4]nSNPs	[5]nIndels	[6]Average depth	[7]nSingletons	[8]Sample name
0	1.417778	0.090180	544	0	6.500000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05LT10.paired.bam
1	1.356982	0.062437	2093	0	21.800000	3	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05LT11.paired.bam
2	1.388151	0.088961	2338	0	56.800000	4	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05PU01.paired.bam
3	1.464912	0.068441	562	0	6.900000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SA03.paired.bam
4	1.437086	0.075237	1472	0	13.100000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SA09.paired.bam
5	1.390756	0.074937	1707	0	16.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SA10.paired.bam
6	1.387922	0.064811	2333	0	47.700000	5	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SI11.paired.bam
7	1.413105	0.089389	1694	0	16.200000	3	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SI13.paired.bam
8	1.297368	0.085821	873	0	8.900000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SI17.paired.bam
9	1.400911	0.084362	2108	0	21.100000	7	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05SI24.paired.bam
10	1.422521	0.071755	2345	0	115.500000	9	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/10AP36.paired.bam
11	1.370744	0.093023	1880	0	22.500000	3	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/10AP39.paired.bam
12	1.386458	0.020945	2291	0	153.900000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/EAFB014142.paired.bam
13	1.366327	0.048373	2319	0	108.400000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/EAFB014144.paired.bam
14	1.381303	0.020252	2267	0	36.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/EAFB014146.paired.bam
15	1.384937	0.046832	2280	0	38.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/EAFB014149.paired.bam
16	1.404941	0.046751	2239	0	43.500000	11	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/EC0101.paired.bam
17	1.356275	0.105063	1746	0	17.800000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/EP0101.paired.bam
18	1.374364	0.038256	2334	0	72.300000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/GL23892.paired.bam
19	1.369060	0.057310	2343	0	48.300000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/GL23898.paired.bam
20	1.419727	0.082629	2306	0	51.300000	3	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/HXRCaAM01.paired.bam
21	1.407603	0.077505	2280	0	32.200000	9	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/HXRCaAM03_X.paired.bam
22	1.399566	0.056911	2210	0	26.700000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/HXRCcAM01.paired.bam
23	1.347126	0.067433	2042	0	22.500000	3	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/HXRCcAM02.paired.bam
24	1.394063	0.064149	2339	0	69.000000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/HXRCcAM03.paired.bam
25	1.394063	0.051236	2339	0	114.300000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/IA0101.paired.bam
26	1.368315	0.047300	2347	0	79.900000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/IA0103.paired.bam
27	1.390817	0.041463	2135	0	25.300000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/IA0506.paired.bam
28	1.386899	0.045271	2332	0	141.300000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/IA0607.paired.bam
29	1.375000	0.045638	2337	0	178.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/IA0608.paired.bam
30	1.381485	0.047427	2341	0	54.300000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/IL0203.paired.bam
31	1.395855	0.069875	2312	0	35.700000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/IL0204.paired.bam
32	1.390947	0.044025	2324	0	53.700000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/IL0301.paired.bam
33	1.382653	0.041016	2335	0	124.900000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/IL0302.paired.bam
34	1.372589	0.057466	2337	0	43.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MEBA014006.paired.bam
35	1.375127	0.043439	2330	0	69.800000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MI0407.paired.bam
36	1.388320	0.038307	2331	0	123.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MI0409.paired.bam
37	1.381726	0.040355	2346	0	143.200000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MI0504.paired.bam
38	1.386667	0.037913	2327	0	52.300000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MI0505.paired.bam
39	1.379837	0.045638	2337	0	77.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MO0110.paired.bam
40	1.382231	0.050569	2306	0	46.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MO0111.paired.bam
41	1.372330	0.043868	2332	0	39.100000	2	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MO0112.paired.bam
42	1.388946	0.042895	2334	0	59.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MO0213.paired.bam
43	1.365634	0.063314	2368	0	55.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MO0214.paired.bam
44	1.360544	0.059219	1735	0	18.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MS0121.paired.bam
45	1.363265	0.048913	2316	0	68.000000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/MS0222.paired.bam
46	1.463533	0.133482	1520	0	11.900000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/NMSCaAM01.paired.bam
47	1.415829	0.097603	1923	0	17.000000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/NMSCaAM02.paired.bam
48	1.362874	0.085856	1973	0	20.600000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/NMSCaAM03.paired.bam
49	1.368902	0.046230	2331	0	46.500000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/OK0102.paired.bam
50	1.366169	0.071171	2378	0	90.400000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/OK0104.paired.bam
51	1.347390	0.039573	2338	0	65.100000	2	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/OK0105.paired.bam
52	1.395445	0.102955	2314	0	33.400000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/RG0101.paired.bam
53	1.400000	0.100189	2328	0	31.600000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/RG0103.paired.bam
54	1.375510	0.036509	2328	0	76.400000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/SJ01.20.paired.bam
55	1.359441	0.047826	1687	0	26.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/SP01.01.paired.bam
56	1.417031	0.115927	2214	0	33.700000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/STDMaAM01.paired.bam
57	1.367722	0.054595	2318	0	67.500000	2	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/STDMaAM02.paired.bam
58	1.390698	0.061983	1542	0	21.100000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/STDMaAM1.paired.bam
59	1.358491	0.041156	2125	0	26.500000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/TN0119.paired.bam
60	1.379877	0.038065	2318	0	100.500000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/TN0120.paired.bam
61	1.375000	0.040476	2185	0	26.900000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/TN0413.paired.bam
62	1.360572	0.040991	2311	0	46.200000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/TN0414.paired.bam
63	1.395349	0.093721	2369	0	78.100000	2	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/TULIaAM01.paired.bam
64	1.384537	0.076217	2344	0	68.100000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/TULIaAM02.paired.bam
65	1.313514	0.138298	1284	0	12.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/TULIaAM03.paired.bam
