# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
0	3.173896	3.173896
1	3.905381	0.731485
2	4.765509	0.860128
3	5.770849	1.005340
4	6.932541	1.161692
5	8.201547	1.269006
6	9.550062	1.348515
7	10.973326	1.423264
8	12.449437	1.476111
9	14.000677	1.551240
10	15.715792	1.715115
11	17.413672	1.697880
12	19.153830	1.740158
13	20.902558	1.748728
14	22.659951	1.757393
15	24.444006	1.784055
16	26.206636	1.762630
17	27.943080	1.736444
18	29.708376	1.765296
19	31.424348	1.715972
20	33.107945	1.683597
21	34.770593	1.662648
22	36.418101	1.647508
23	38.033234	1.615133
24	39.600947	1.567713
25	41.137428	1.536481
26	42.645438	1.508010
27	44.113741	1.468303
28	45.554620	1.440879
29	46.958078	1.403458
30	48.347538	1.389460
31	49.706337	1.358799
32	51.024667	1.318330
33	52.319859	1.295192
34	53.576486	1.256627
35	54.801691	1.225205
36	55.993187	1.191496
37	57.135073	1.141886
38	58.282958	1.147885
39	59.386090	1.103132
40	60.462560	1.076470
41	61.516272	1.053712
42	62.547607	1.031335
43	63.555232	1.007625
44	64.532577	0.977345
45	65.477261	0.944684
46	66.406710	0.929449
47	67.307212	0.900502
48	68.173530	0.866318
49	68.993475	0.819945
50	69.817324	0.823849
51	70.614607	0.797283
52	71.382562	0.767955
53	72.127950	0.745388
54	72.845247	0.717297
55	73.550832	0.705585
56	74.232993	0.682161
57	74.885159	0.652166
58	75.528279	0.643120
59	76.142929	0.614650
60	76.742534	0.599605
61	77.323285	0.580751
62	77.873946	0.550661
63	78.424322	0.550376
64	78.952321	0.527999
65	79.471655	0.519334
66	79.971659	0.500004
67	80.453476	0.481817
68	80.922343	0.468867
69	81.375022	0.452679
70	81.812561	0.437539
71	82.233722	0.421161
72	82.650503	0.416781
73	83.048525	0.398022
74	83.434835	0.386310
75	83.816384	0.381549
76	84.175747	0.359363
77	84.529873	0.354126
78	84.881142	0.351269
79	85.223460	0.342318
80	85.553304	0.329844
81	85.875055	0.321751
82	86.184903	0.309848
83	86.486086	0.301183
84	86.775366	0.289280
85	87.055410	0.280044
86	87.333359	0.277949
87	87.600072	0.266713
88	87.858501	0.258429
89	88.120358	0.261857
90	88.372598	0.252240
91	88.616173	0.243575
92	88.845845	0.229672
93	89.075422	0.229577
94	89.308998	0.233576
95	89.522959	0.213961
96	89.730159	0.207200
97	89.936693	0.206534
98	90.141417	0.204724
99	90.338809	0.197392
100	90.537725	0.198916
101	90.726928	0.189203
102	90.910037	0.183109
103	91.084100	0.174063
104	91.260258	0.176158
105	91.436511	0.176253
106	91.607146	0.170635
107	91.773687	0.166541
108	91.936038	0.162351
109	92.095437	0.159399
110	92.247409	0.151972
111	92.396715	0.149306
112	92.543641	0.146926
113	92.688567	0.144926
114	92.828827	0.140260
115	92.970991	0.142164
116	93.110489	0.139498
117	93.246369	0.135880
118	93.377202	0.130833
119	93.503369	0.126167
120	93.630203	0.126834
121	93.751419	0.121216
122	93.869207	0.117788
123	93.989376	0.120169
124	94.101070	0.111694
125	94.205337	0.104267
126	94.313889	0.108552
127	94.422345	0.108456
128	94.525755	0.103410
129	94.632212	0.106457
130	94.734384	0.102172
131	94.834175	0.099791
132	94.929681	0.095506
133	95.023569	0.093888
134	95.112981	0.089412
135	95.206107	0.093126
136	95.296948	0.090841
137	95.386932	0.089984
138	95.474249	0.087317
139	95.558424	0.084175
140	95.640790	0.082366
141	95.715729	0.074939
142	95.785811	0.070082
143	95.868177	0.082366
144	95.941402	0.073225
145	96.018340	0.076938
146	96.085566	0.067226
147	96.157267	0.071701
148	96.226112	0.068845
149	96.297051	0.070939
150	96.359992	0.062941
151	96.430170	0.070178
152	96.493492	0.063322
153	96.554909	0.061417
154	96.617945	0.063036
155	96.682219	0.064274
156	96.741161	0.058942
157	96.800579	0.059418
158	96.860568	0.059989
159	96.916558	0.055990
160	96.977118	0.060560
161	97.031108	0.053990
162	97.085765	0.054657
163	97.134423	0.048658
164	97.184985	0.050562
165	97.234309	0.049324
166	97.283729	0.049420
167	97.334101	0.050372
168	97.383997	0.049896
169	97.424751	0.040754
170	97.470457	0.045706
171	97.516258	0.045801
172	97.558346	0.042088
173	97.600814	0.042468
174	97.642140	0.041326
175	97.684037	0.041897
176	97.722601	0.038564
177	97.763736	0.041135
178	97.803919	0.040183
179	97.840865	0.036946
180	97.878287	0.037422
181	97.912186	0.033899
182	97.947132	0.034946
183	97.985220	0.038088
184	98.019214	0.033994
185	98.049589	0.030375
186	98.082631	0.033042
187	98.113483	0.030852
188	98.148810	0.035327
189	98.177757	0.028947
190	98.206704	0.028947
191	98.237936	0.031232
192	98.267169	0.029233
193	98.295926	0.028757
194	98.325349	0.029423
195	98.355058	0.029709
196	98.382577	0.027519
197	98.409144	0.026567
198	98.435711	0.026567
199	98.458754	0.023043
200	98.483511	0.024757
201	98.507221	0.023710
202	98.532645	0.025424
203	98.560545	0.027900
204	98.581970	0.021425
205	98.604252	0.022282
206	98.625867	0.021615
207	98.648053	0.022186
208	98.669763	0.021710
209	98.691949	0.022186
210	98.712041	0.020092
211	98.731371	0.019330
212	98.752415	0.021044
213	98.773078	0.020663
214	98.793074	0.019996
215	98.812309	0.019235
216	98.829925	0.017616
217	98.851350	0.021425
218	98.870870	0.019520
219	98.890200	0.019330
220	98.909625	0.019425
221	98.928003	0.018378
222	98.946381	0.018378
223	98.965520	0.019139
224	98.983136	0.017616
225	99.000371	0.017235
