# [1]Sample ID	[2]ts/tv	[3]het/hom	[4]nSNPs	[5]nIndels	[6]Average depth	[7]nSingletons	[8]Sample name
0	1.509434	0.047244	399	0	6.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05AR12.paired.bam
1	1.235294	0.043956	190	0	4.700000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/05AR15.paired.bam
2	1.401042	0.042986	1383	0	14.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/08TM05.paired.bam
3	1.396226	0.092473	508	0	7.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/10OT21.paired.bam
4	1.414129	0.089610	1982	0	36.400000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/10OT23.paired.bam
5	1.396882	0.081125	1999	0	34.500000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/11CT10.paired.bam
6	1.400709	0.074035	2031	0	146.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/11CT12.paired.bam
7	1.346059	0.086089	1905	0	25.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/11CT18.paired.bam
8	1.496255	0.089943	1333	0	14.600000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/11CT21.paired.bam
9	1.389412	0.071203	2031	0	97.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/11CT25.paired.bam
10	1.397683	0.031561	1863	0	24.500000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ACSFa01.paired.bam
11	1.396135	0.037114	1984	0	35.600000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ACSFa02.paired.bam
12	1.394673	0.036688	1978	0	37.400000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ACSFa03.paired.bam
13	1.369146	0.029324	1720	0	21.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ACSFc01.paired.bam
14	1.392082	0.029687	1873	0	27.300000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ACSFc02.paired.bam
15	1.396088	0.029953	1960	0	43.000000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ACSFc03.paired.bam
16	1.355705	0.040308	1755	0	26.900000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ACTPa02.paired.bam
17	1.346570	0.043339	1950	0	29.400000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ACTPa03.paired.bam
18	1.325370	0.040733	2044	0	60.000000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ACTPa08.paired.bam
19	1.381688	0.041602	2003	0	70.900000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/AR0101.paired.bam
20	1.399513	0.045093	1970	0	49.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/AR0102.paired.bam
21	1.415220	0.042651	1809	0	27.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/AR0103.paired.bam
22	1.391617	0.033109	1997	0	101.900000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/AR0104.paired.bam
23	1.379597	0.042078	2006	0	133.700000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/AR0207.paired.bam
24	1.362606	0.045768	1668	0	23.800000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/AR0208.paired.bam
25	1.387366	0.041602	2003	0	227.800000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/AR0209.paired.bam
26	1.387879	0.049547	1970	0	37.900000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/AR0210.paired.bam
27	1.350068	0.058680	1732	0	19.600000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ARa02.paired.bam
28	1.402715	0.053571	1062	0	10.900000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ARa03.paired.bam
29	1.332555	0.039522	1999	0	37.800000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ARa04.paired.bam
30	1.337094	0.036273	1657	0	24.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ARa05.paired.bam
31	1.415493	0.041762	1372	0	19.000000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/ARa06.paired.bam
32	1.374707	0.080448	2028	0	42.600000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/BALB01.paired.bam
33	1.379270	0.072187	2020	0	43.500000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/BALB02.paired.bam
34	1.367246	0.079186	1908	0	29.000000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/BALB06.paired.bam
35	1.382009	0.080551	2039	0	93.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/BAMB03.paired.bam
36	1.392732	0.084485	2041	0	58.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/BAMB06.paired.bam
37	1.369403	0.047855	635	0	8.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/BFa02.paired.bam
38	1.491667	0.056537	299	0	4.200000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/BZ0201.paired.bam
39	1.457944	0.000000	263	0	6.800000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/BZ0202.paired.bam
40	1.552174	0.079044	1174	0	16.700000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetAmer1.0_dg/BZ0404.paired.bam
