# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
0	3.088755	3.088755
1	3.743572	0.654817
2	4.528845	0.785273
3	5.486279	0.957434
4	6.597913	1.111634
5	7.843144	1.245231
6	9.187209	1.344065
7	10.609724	1.422515
8	12.104740	1.495016
9	13.669832	1.565092
10	15.375517	1.705685
11	17.101476	1.725959
12	18.859057	1.757581
13	20.644955	1.785898
14	22.452063	1.807108
15	24.258951	1.806888
16	26.072175	1.813224
17	27.847771	1.775596
18	29.615765	1.767994
19	31.353734	1.737969
20	33.065755	1.712021
21	34.758108	1.692353
22	36.423742	1.665634
23	38.050812	1.627070
24	39.645653	1.594841
25	41.216364	1.570711
26	42.750715	1.534351
27	44.236696	1.485981
28	45.698216	1.461520
29	47.127838	1.429622
30	48.515205	1.387367
31	49.893757	1.378552
32	51.230605	1.336848
33	52.529660	1.299055
34	53.813069	1.283409
35	55.055160	1.242091
36	56.274719	1.219559
37	57.446954	1.172235
38	58.609383	1.162429
39	59.733744	1.124361
40	60.806539	1.072795
41	61.877241	1.070702
42	62.907726	1.030485
43	63.913640	1.005914
44	64.905175	0.991535
45	65.854455	0.949280
46	66.788805	0.934350
47	67.701394	0.912589
48	68.576246	0.874852
49	69.418428	0.842182
50	70.246342	0.827914
51	71.043129	0.796787
52	71.816612	0.773483
53	72.573899	0.757287
54	73.301987	0.728088
55	74.007322	0.705335
56	74.689023	0.681701
57	75.350065	0.661042
58	75.992321	0.642256
59	76.605709	0.613388
60	77.205159	0.599450
61	77.786594	0.581435
62	78.356845	0.570251
63	78.901699	0.544854
64	79.437188	0.535489
65	79.950640	0.513452
66	80.448832	0.498192
67	80.933196	0.484364
68	81.401363	0.468167
69	81.857961	0.456598
70	82.295552	0.437591
71	82.719866	0.424314
72	83.136743	0.416877
73	83.536872	0.400129
74	83.923173	0.386301
75	84.299392	0.376219
76	84.674289	0.374897
77	85.031667	0.357378
78	85.380506	0.348839
79	85.723450	0.342944
80	86.057194	0.333744
81	86.381627	0.324433
82	86.689753	0.308126
83	86.987853	0.298100
84	87.275651	0.287798
85	87.551439	0.275788
86	87.830422	0.278983
87	88.095852	0.265430
88	88.357426	0.261574
89	88.612830	0.255404
90	88.857491	0.244661
91	89.099508	0.242017
92	89.335905	0.236397
93	89.561945	0.226040
94	89.785506	0.223561
95	89.999206	0.213700
96	90.210096	0.210890
97	90.416083	0.205987
98	90.612374	0.196291
99	90.808279	0.195905
100	91.000713	0.192434
101	91.186206	0.185493
102	91.365859	0.179653
103	91.543033	0.177174
104	91.718940	0.175907
105	91.891101	0.172161
106	92.055273	0.164172
107	92.212228	0.156955
108	92.369734	0.157506
109	92.521786	0.152052
110	92.672516	0.150730
111	92.823632	0.151116
112	92.968688	0.145056
113	93.114460	0.145772
114	93.250371	0.135911
115	93.383913	0.133542
116	93.517620	0.133707
117	93.647526	0.129906
118	93.773796	0.126270
119	93.896925	0.123129
120	94.017520	0.120595
121	94.138721	0.121201
122	94.258049	0.119328
123	94.373355	0.115306
124	94.489212	0.115857
125	94.596200	0.106988
126	94.698229	0.102029
127	94.798936	0.100707
128	94.900414	0.101478
129	95.001176	0.100762
130	95.100671	0.099495
131	95.197852	0.097181
132	95.292444	0.094592
133	95.388413	0.095969
134	95.479810	0.091397
135	95.571096	0.091286
136	95.656378	0.085282
137	95.742761	0.086383
138	95.825398	0.082637
139	95.907870	0.082472
140	95.983400	0.075530
141	96.061520	0.078120
142	96.138428	0.076908
143	96.210983	0.072555
144	96.284695	0.073712
145	96.356204	0.071509
146	96.425729	0.069525
147	96.497844	0.072115
148	96.563513	0.065669
149	96.629843	0.066330
150	96.694851	0.065008
151	96.759473	0.064622
152	96.820624	0.061151
153	96.879847	0.059223
154	96.938134	0.058287
155	96.999120	0.060986
156	97.057352	0.058232
157	97.112554	0.055202
158	97.169739	0.057185
159	97.225271	0.055532
160	97.283172	0.057901
161	97.335950	0.052778
162	97.388562	0.052612
163	97.439907	0.051345
164	97.486790	0.046883
165	97.531139	0.044349
166	97.577416	0.046277
167	97.622481	0.045065
168	97.667105	0.044624
169	97.712445	0.045340
170	97.755416	0.042971
171	97.798497	0.043081
172	97.839540	0.041043
173	97.880748	0.041208
174	97.918375	0.037627
175	97.956884	0.038509
176	97.994897	0.038013
177	98.032359	0.037462
178	98.067673	0.035314
179	98.104199	0.036526
180	98.136538	0.032339
181	98.170419	0.033881
182	98.206284	0.035865
183	98.240220	0.033936
184	98.273440	0.033220
185	98.303685	0.030245
186	98.334095	0.030410
187	98.364616	0.030521
188	98.395688	0.031072
189	98.422903	0.027215
190	98.450228	0.027325
191	98.478710	0.028482
192	98.507137	0.028427
193	98.534242	0.027105
194	98.561072	0.026830
195	98.589775	0.028703
196	98.615503	0.025728
197	98.641451	0.025948
198	98.666242	0.024791
199	98.689986	0.023744
200	98.714447	0.024461
201	98.739073	0.024626
202	98.763313	0.024240
203	98.785184	0.021871
204	98.808322	0.023138
205	98.829257	0.020935
206	98.849861	0.020604
207	98.870135	0.020274
208	98.891070	0.020935
209	98.913162	0.022092
210	98.933711	0.020549
211	98.952607	0.018896
212	98.972054	0.019447
213	98.990124	0.018070
214	99.008194	0.018070
