# [1]Sample ID	[2]ts/tv	[3]het/hom	[4]nSNPs	[5]nIndels	[6]Average depth	[7]nSingletons	[8]Sample name
0	1.909091	1.133333	64	0	6.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/05AR12.paired.bam
1	2.032258	1.724638	188	0	14.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/08TM05.paired.bam
2	1.357576	0.355401	389	0	7.100000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/10OT21.paired.bam
3	1.485226	0.346251	1598	0	36.300000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/10OT23.paired.bam
4	1.481651	0.352500	1623	0	34.900000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/11CT10.paired.bam
5	1.501493	0.367047	1676	0	143.700000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/11CT12.paired.bam
6	1.508800	0.380282	1568	0	25.300000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/11CT18.paired.bam
7	1.404211	0.384242	1142	0	15.000000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/11CT21.paired.bam
8	1.412268	0.372565	1691	0	96.700000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/11CT25.paired.bam
9	1.503401	0.133179	1472	0	23.600000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/ACSFa01.paired.bam
10	1.486698	0.137437	1589	0	34.400000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/ACSFa02.paired.bam
11	1.557003	0.123837	1570	0	36.200000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/ACSFa03.paired.bam
12	1.548387	0.139101	1343	0	20.800000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/ACSFc01.paired.bam
13	1.531197	0.140578	1501	0	26.500000	0	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/ACSFc02.paired.bam
14	1.526656	0.134978	1564	0	42.300000	1	/nobackup/tmjj24/ddRAD/Demultiplexed_seq_processing/bwa_HetTit1.0_dg/ACSFc03.paired.bam
